board_size,strategy,attempt,step_count,factor,success,time
3,StochasticLine,1,21,0.1,True,0.005883069999981672
3,StochasticLine,2,45,0.1,True,0.01271609799732687
3,StochasticLine,3,42,0.1,True,0.011792435994721018
3,StochasticLine,4,29,0.1,True,0.007954307002364658
3,StochasticLine,5,36,0.1,True,0.010169273999053985
3,StochasticLine,6,41,0.1,True,0.011543594002432656
3,StochasticLine,7,10,0.1,True,0.0027475870010675862
3,StochasticLine,8,39,0.1,True,0.011091815002146177
3,StochasticLine,9,8,0.1,True,0.002069766997010447
3,StochasticLine,10,31,0.1,True,0.008730456000193954
3,StochasticLine,11,50,0.1,True,0.014213495000149123
3,StochasticLine,12,85,0.1,True,0.024010153996641748
3,StochasticLine,13,29,0.1,True,0.008069181996688712
3,StochasticLine,14,35,0.1,True,0.009832682997512165
3,StochasticLine,15,38,0.1,True,0.010607814998365939
3,StochasticLine,16,84,0.1,True,0.02364031400065869
3,StochasticLine,17,25,0.1,True,0.007018917000095826
3,StochasticLine,18,59,0.1,True,0.016337359993485734
3,StochasticLine,19,15,0.1,True,0.004211502004181966
3,StochasticLine,20,21,0.1,True,0.00579329800530104
3,StochasticLine,21,28,0.1,True,0.007947206002427265
3,StochasticLine,22,12,0.1,True,0.003284013000666164
3,StochasticLine,23,78,0.1,True,0.022097833003499545
3,StochasticLine,24,15,0.1,True,0.00406197600386804
3,StochasticLine,25,19,0.1,True,0.005271833993901964
3,StochasticLine,1,153,0.3,True,0.0435340920012095
3,StochasticLine,2,413,0.3,True,0.1162364250048995
3,StochasticLine,3,62,0.3,True,0.017307021000306122
3,StochasticLine,4,93,0.3,True,0.026124233998416457
3,StochasticLine,5,19,0.3,True,0.005294516995490994
3,StochasticLine,6,371,0.3,True,0.10409363099461189
3,StochasticLine,7,220,0.3,True,0.06132661500305403
3,StochasticLine,8,351,0.3,True,0.09765083000093
3,StochasticLine,9,139,0.3,True,0.03862350800045533
3,StochasticLine,10,62,0.3,True,0.01712477499677334
3,StochasticLine,11,22,0.3,True,0.006038171995896846
3,StochasticLine,12,80,0.3,True,0.022298737996607088
3,StochasticLine,13,101,0.3,True,0.02798192000045674
3,StochasticLine,14,99,0.3,True,0.027380658000765834
3,StochasticLine,15,281,0.3,True,0.07801619700330775
3,StochasticLine,16,517,0.3,True,0.14361367999663344
3,StochasticLine,17,91,0.3,True,0.025227588004781865
3,StochasticLine,18,252,0.3,True,0.06994592599949101
3,StochasticLine,19,66,0.3,True,0.01818619699770352
3,StochasticLine,20,68,0.3,True,0.01873732899548486
3,StochasticLine,21,93,0.3,True,0.025889028001984116
3,StochasticLine,22,416,0.3,True,0.11530511399905663
3,StochasticLine,23,54,0.3,True,0.014984178997110575
3,StochasticLine,24,157,0.3,True,0.043714232997444924
3,StochasticLine,25,14,0.3,True,0.0038525359996128827
3,StochasticLine,1,695,0.6,True,0.19938452900532866
3,StochasticLine,2,121,0.6,True,0.03447823900205549
3,StochasticLine,3,303,0.6,True,0.0860940060010762
3,StochasticLine,4,97,0.6,True,0.02717022199794883
3,StochasticLine,5,217,0.6,True,0.06084955600090325
3,StochasticLine,6,399,0.6,True,0.11224354500154732
3,StochasticLine,7,64,0.6,True,0.017834411999501754
3,StochasticLine,8,1956,0.6,True,0.5505152059995453
3,StochasticLine,9,683,0.6,True,0.19215556899871444
3,StochasticLine,10,383,0.6,True,0.1074729780011694
3,StochasticLine,11,495,0.6,True,0.13907314500102075
3,StochasticLine,12,57,0.6,True,0.015849815994442906
3,StochasticLine,13,433,0.6,True,0.12168521800049348
3,StochasticLine,14,355,0.6,True,0.09970502800570102
3,StochasticLine,15,399,0.6,True,0.11213449200295145
3,StochasticLine,16,356,0.6,True,0.0998321169972769
3,StochasticLine,17,209,0.6,True,0.0586635869985912
3,StochasticLine,18,301,0.6,True,0.08457449800334871
3,StochasticLine,19,278,0.6,True,0.07820146500307601
3,StochasticLine,20,207,0.6,True,0.058069612001418136
3,StochasticLine,21,443,0.6,True,0.12489124300191179
3,StochasticLine,22,829,0.6,True,0.23297769800410606
3,StochasticLine,23,72,0.6,True,0.020180516999971587
3,StochasticLine,24,247,0.6,True,0.0693592930037994
3,StochasticLine,25,51,0.6,True,0.014197784999851137
3,StochasticLine,1,71,0.9,True,0.020335199995315634
3,StochasticLine,2,368,0.9,True,0.10438110800168943
3,StochasticLine,3,476,0.9,True,0.13570100299693877
3,StochasticLine,4,28,0.9,True,0.007945371995447204
3,StochasticLine,5,1159,0.9,True,0.32449884800007567
3,StochasticLine,6,2,0.9,True,0.0004073730015079491
3,StochasticLine,7,748,0.9,True,0.2089051009970717
3,StochasticLine,8,955,0.9,True,0.26737054099794477
3,StochasticLine,9,26,0.9,True,0.007223988002806436
